elo,A_Nc3,C_bw100_Nc3,A_d3,C_bw100_d3,A_Ng5,C_bw100_Ng5,A_O-O,C_bw100_O-O
1270.0,0.027876670602713115,0.02933246173977061,0.03418422184591424,0.03326768757902796,0.027876670602713115,0.02933246173977061,0.013065406668866878,0.012310358990030327
1275.0,0.027876670602713118,0.0292509445617444,0.03418422184591424,0.03329018738450898,0.02787667060271313,0.029250944561744402,0.013065406668866878,0.012414329256343256
1280.0,0.027876670602713118,0.029178331142781594,0.034184221845914235,0.03330624556178391,0.027876670602713118,0.029178331142781597,0.013065406668866877,0.01251558601762831
1285.0,0.027876670602713118,0.02911466678218457,0.03418422184591424,0.033315719820276334,0.027876670602713115,0.029114666782184575,0.013065406668866877,0.01261437870184675
1290.0,0.027876670602713115,0.029059955784766747,0.03418422184591423,0.03331848884159432,0.02787667060271312,0.02905995578476675,0.013065406668866875,0.012710994588857464
1295.0,0.02787667060271312,0.029014167950512204,0.03418422184591424,0.03331445057213161,0.02787667060271312,0.029014167950512208,0.013065406668866878,0.012805751482712987
1300.0,0.02787667060271312,0.028977244336372575,0.03418422184591424,0.033303521227899244,0.027876670602713115,0.02897724433637258,0.013065406668866877,0.012898990372459892
1305.0,0.02787667060271313,0.02894910211264287,0.03418422184591425,0.033285635121237105,0.02787667060271312,0.028949102112642875,0.013065406668866882,0.012991068188276863
1310.0,0.02787667060271313,0.02892963840055841,0.034184221845914235,0.03326074537532504,0.02787667060271312,0.028929638400558413,0.013065406668866878,0.013082350731273234
1315.0,0.02787667060271312,0.02891873303955341,0.03418422184591424,0.03322882554655807,0.02787667060271312,0.028918733039553415,0.013065406668866877,0.013173205834855251
1320.0,0.027876670602713118,0.028916250291039593,0.03418422184591423,0.03318987212721833,0.02787667060271312,0.0289162502910396,0.013065406668866877,0.013263996804271847
1325.0,0.02787667060271312,0.028922039540140627,0.03418422184591424,0.033143907851803565,0.027876670602713108,0.02892203954014063,0.013065406668866875,0.013355076178928562
1330.0,0.027876670602713115,0.028935935107297844,0.03418422184591424,0.033090985680445065,0.027876670602713118,0.028935935107297844,0.013065406668866877,0.013446779868641158
1335.0,0.027876670602713118,0.028957755327688545,0.03418422184591424,0.03303119328314712,0.027876670602713115,0.028957755327688548,0.013065406668866878,0.013539421728764477
1340.0,0.02787667060271312,0.028987301097270924,0.03418422184591424,0.0329646578008787,0.02787667060271312,0.028987301097270927,0.013065406668866877,0.013633288657954438
1345.0,0.02787667060271312,0.02902435411877878,0.03418422184591424,0.03289155061640969,0.027876670602713115,0.029024354118778784,0.013065406668866877,0.01372863632346216
1350.0,0.027876670602713115,0.02906867510737774,0.03418422184591424,0.03281209183254708,0.02787667060271312,0.029068675107377744,0.013065406668866877,0.013825685639089959
1355.0,0.027876670602713118,0.029120002231730276,0.03418422184591424,0.03272655413201347,0.027876670602713118,0.029120002231730283,0.013065406668866882,0.013924620136725624
1360.0,0.027876670602713115,0.029178050069438848,0.03418422184591423,0.03263526568577727,0.02787667060271312,0.029178050069438854,0.013065406668866875,0.014025584380151003
1365.0,0.027876670602713115,0.029242509343901168,0.03418422184591424,0.03253861178905074,0.027876670602713118,0.029242509343901175,0.013065406668866877,0.014128683566349954
1370.0,0.02787667060271312,0.02931304768076423,0.03418422184591424,0.032437034939342406,0.02787667060271312,0.029313047680764235,0.013065406668866878,0.014233984442311245
